Metric,Value
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,4144
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,4144
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19993
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19999
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000706951
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000807965
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000138854
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000807965
design_powergrid__voltage__worst,0.0000807965
design_powergrid__voltage__worst__net:VPWR,1.19993
design_powergrid__drop__worst,0.0000807965
design_powergrid__drop__worst__net:VPWR,0.0000706951
design_powergrid__voltage__worst__net:VGND,0.0000807965
design_powergrid__drop__worst__net:VGND,0.0000807965
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00001380000000000000001079865363795562416271422989666461944580078125
ir__drop__worst,0.000070699999999999997330087098124096200990607030689716339111328125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
