Metric,Value
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19998
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19999
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000155384
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000143894
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000065564
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000143894
design_powergrid__voltage__worst,0.0000143894
design_powergrid__voltage__worst__net:VPWR,1.19998
design_powergrid__drop__worst,0.0000155384
design_powergrid__drop__worst__net:VPWR,0.0000155384
design_powergrid__voltage__worst__net:VGND,0.0000143894
design_powergrid__drop__worst__net:VGND,0.0000143894
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00000672000000000000003472049037167579399465466849505901336669921875
ir__drop__worst,0.00001550000000000000067502427258947506061304011382162570953369140625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
